model_id,n,token_f1_mean,token_f1_std,answer_similarity_mean,answer_similarity_std,reference_answer_nll_mean,reference_answer_nll_std,reference_answer_token_perplexity_mean,reference_answer_token_perplexity_std,reference_answer_token_perplexity_median,reference_answer_tokens_mean,reference_answer_tokens_std,total_inference_seconds,generation_inference_seconds,generation_tokens,generation_tokens_per_second,reference_logprob_inference_seconds,reference_logprob_examples_per_second,vram_peak_allocated_mb,vram_peak_reserved_mb
leandrodevai/finetuning-trial_lr2e4_r16_HuggingFaceTB_SmolLM2-1.7B-Instruct,128,0.4535446700208836,0.23556952907688564,0.8383316500919071,0.09960009151696417,0.7810346948818898,0.3842403161307032,2.408448457645864,1.624030714872823,2.0200555277086965,73.8203125,63.966580053033184,231.05079324800045,202.4501114010004,10700,52.8525271038558,28.600681847000033,4.475417777965531,7749.39013671875,9366.0
leandrodevai/finetuning-trial_lr1e4_r16_meta-llama_Llama-3.2-1B-Instruct,128,0.42409432762967325,0.23179135011956506,0.8333240212417963,0.08722561049854408,0.8758765994094488,0.36198583331388057,2.5905087082372473,1.2881342257112813,2.3802070983234693,76.078125,65.5520000805996,134.17271226400044,107.8612131560003,4555,42.23019440187527,26.311499108000135,4.864793126176569,5017.251953125,7546.0
leandrodevai/finetuning-trial_lr2e4_r16_meta-llama_Llama-3.2-1B-Instruct,128,0.4410569970900666,0.2525048947875575,0.8310670596877421,0.09976814872757787,0.8253644808070866,0.36819432508245953,2.4701683060196955,1.2547238146763473,2.244749087691627,76.078125,65.5520000805996,181.90318656900035,155.84865967300038,6619,42.47068928207595,26.05452689599997,4.912773911072292,2677.2421875,3610.0
leandrodevai/finetuning-trial_lr5e5_r16_meta-llama_Llama-3.2-1B-Instruct,128,0.42111257906536403,0.23198246560446834,0.8266552569359307,0.09235652555743609,0.8816590797244095,0.37112086386126963,2.6223503651126423,1.4302289099773273,2.334169725631395,76.078125,65.5520000805996,157.73566248699944,131.5502059229998,5546,42.158808958811036,26.18545656399965,4.888209594022403,2663.115234375,3610.0
leandrodevai/finetuning-trial_lr5e4_r16_meta-llama_Llama-3.2-1B-Instruct,128,0.4364050457539572,0.2500896481611458,0.8184837562831369,0.11092027521891555,0.8821358267716536,0.36384379863453864,2.598380601252404,1.153613759075987,2.3802070983234693,76.078125,65.5520000805996,135.8236907329997,112.31391449499961,5123,45.61322631336195,23.509776238000086,5.444543525391232,6031.83251953125,7100.0
HuggingFaceTB/SmolLM2-1.7B-Instruct,128,0.2918533240850138,0.16442593438141312,0.8026429933356488,0.0892734188533661,1.2078155757874016,0.5671662647295332,4.278248083087171,5.858330277337295,2.8045693562372267,73.8203125,63.966580053033184,462.0126217240006,433.3164308660005,23920,55.20215319828724,28.696190858000136,4.460522326234641,7484.11279296875,11860.0
meta-llama/Llama-3.2-1B-Instruct,128,0.23537197021157752,0.17083124726965293,0.7732147255281764,0.09294167558197818,1.4082646407480315,0.5674175585777098,4.973546904228689,4.0338374119437646,3.5731140554059015,76.078125,65.5520000805996,463.2670195190001,439.85570398699997,42664,96.99544558199237,23.411315532000117,5.4674415807621415,3296.59326171875,10792.0
